       DATE         INCIDENT  LEVEL     RULE     IP            REQUEST 

01/Dec/25 11:25:28  #6679159  INFO         -  61.83.227.119    GET /index.php - Sanitising user input - [HTTP_REFERER: https://coffeecrawlers.com/wp-login.php?redirect_to=https%3A%2F%2Fcoffeecrawlers.com%2Fwp-admin%2F&reauth=1] - coffeecrawlers.com 

01/Dec/25 11:25:30  #7832552  INFO         -  61.83.227.119    POST /wp-login.php - Sanitising user input - [HTTP_REFERER: https://coffeecrawlers.com/wp-login.php?redirect_to=https%3A%2F%2Fcoffeecrawlers.com%2Fwp-admin%2F&reauth=1] - coffeecrawlers.com 

02/Dec/25 05:09:36  #1918675  INFO         -  104.135.192.131  GET /index.php - Sanitising user input - [HTTP_REFERER: https://coffeecrawlers.com/4-3-%EB%84%A4%ED%8A%B8%EC%9B%8C%ED%81%AC-%EC%8B%9C%EB%AE%AC%EB%A0%88%EC%9D%B4%EC%85%98/] - coffeecrawlers.com 

02/Dec/25 15:59:31  #8607879  INFO         -  5.254.112.116    GET /index.php - Sanitising user input - [HTTP_REFERER: https://coffeecrawlers.com/2-5-lan%ea%b3%bc-wan%ea%b3%bc%ec%9d%98-%ec%97%b0%ea%b2%b0-%eb%aa%a8%eb%8e%80%ea%b3%bc-%eb%9d%bc%ec%9a%b0/#comment-2] - coffeecrawlers.com 

02/Dec/25 15:59:33  #6048471  INFO         -  5.254.112.116    GET /index.php - Sanitising user input - [HTTP_REFERER: https://coffeecrawlers.com/2-5-wan%ec%9c%bc%eb%a1%9c%ec%9d%98-%ed%99%95%ec%9e%a5/] - coffeecrawlers.com 

02/Dec/25 15:59:35  #6493591  INFO         -  5.254.112.116    POST /wp-comments-post.php - Sanitising user input - [HTTP_REFERER: https://coffeecrawlers.com/2-5-wan%ec%9c%bc%eb%a1%9c%ec%9d%98-%ed%99%95%ec%9e%a5/] - coffeecrawlers.com 

02/Dec/25 15:59:37  #3396669  INFO         -  5.254.112.116    GET /index.php - Sanitising user input - [HTTP_REFERER: https://coffeecrawlers.com/2-5-wan%ec%9c%bc%eb%a1%9c%ec%9d%98-%ed%99%95%ec%9e%a5/#comment-191] - coffeecrawlers.com 

02/Dec/25 16:50:48  #4479217  HIGH      1366  4.218.11.1       GET /wp-admin/install.php - Unauthorized file access - [SERVER:SCRIPT_NAME = /wp-admin/install.php] - coffeecrawlers.com 

